 Dimension       Time    Gflop/s       GB/s
        20   0.000260  15.384615  49.230769
        40   0.002311  13.848617  44.315575
        60   0.007884  13.698804  43.836172
        80   0.020181  12.685388  40.593240
       100   0.041191  12.138456  38.843059
       120   0.071893  12.017910  38.457313
       140   0.117860  11.640890  37.250849
       160   0.188038  10.891439  34.852604
       180   0.271179  10.753057  34.409782
       200   0.379235  10.547539  33.752123
       220   0.507045  10.500050  33.600160
       240   0.663788  10.412959  33.321467
       260   0.850780  10.329345  33.053904
       280   1.066043  10.296022  32.947270
       300   1.351698   9.987436  31.959795
       320   1.653812   9.906812  31.701797
       340   2.051518   9.579249  30.653597
       360   2.732449   8.537396  27.319666
       380   3.456658   7.937146  25.398867
       400   4.014517   7.971071  25.507428
       420   4.174877   8.873075  28.393841
       440   4.710959   9.041046  28.931346
       460   5.416402   8.985301  28.752963
       480   6.292852   8.787112  28.118759
       500   7.334505   8.521366  27.268371
       520   9.366675   7.505759  24.018428
       540  10.029878   7.849746  25.119188
       560  12.366442   7.100507  22.721621
       580  11.792126   8.272978  26.473531
